timestamp,price,imbalance_5,imbalance_20,imbalance_50,market_delta_10s,trade_speed_10s,label_next_price
2026-05-30 21:18:09,73928.05,0.8025,0.7429,0.7032,0.2028,13,
2026-05-30 21:18:19,73921.45,0.4506,0.5009,0.4635,-0.7116,55,
2026-05-30 21:18:29,73920.35,0.3083,0.4338,0.3285,-0.1751,20,
2026-05-30 21:18:39,73913.05,0.0799,0.1265,0.682,-0.4613,46,
2026-05-30 21:18:49,73913.05,0.2102,0.2315,0.7078,0.0015,3,
2026-05-30 21:18:59,73911.25,0.1361,0.253,0.7234,-0.7295,43,
2026-05-30 21:19:09,73900.65,0.8593,0.8181,0.7031,-0.3763,58,
2026-05-30 21:19:19,73910.35,0.6471,0.5564,0.7629,1.0588,69,
2026-05-30 21:19:29,73906.65,0.8902,0.8267,0.8338,-1.1249,72,
2026-05-30 21:19:39,73912.95,0.7931,0.694,0.8097,0.2475,37,
2026-05-30 21:19:49,73912.95,0.7883,0.6818,0.8066,-0.0005,4,
2026-05-30 21:20:09,73929.85,0.8529,0.7373,0.5944,0.9316,125,
2026-05-30 21:20:19,73929.85,0.7526,0.696,0.6574,-0.0099,5,
2026-05-30 21:20:29,73939.25,0.9046,0.7693,0.7013,0.3216,58,
2026-05-30 21:20:39,73952.25,0.8639,0.6612,0.6089,0.232,52,
2026-05-30 21:20:49,73967.65,0.7674,0.6413,0.6439,1.0836,76,
2026-05-30 21:20:59,73970.35,0.8839,0.764,0.709,0.4533,22,
2026-05-30 21:21:09,73974.25,0.7946,0.7088,0.6013,0.0411,15,
2026-05-30 21:21:19,73974.25,0.9759,0.7603,0.6126,0.0168,5,
2026-05-30 21:21:29,73977.75,0.7393,0.6577,0.6284,0.2021,38,
2026-05-30 21:21:39,73977.75,0.7639,0.6715,0.6507,0.0017,4,
2026-05-30 21:21:49,73982.85,0.9609,0.8552,0.6822,0.1181,37,
2026-05-30 21:21:59,73977.15,0.4455,0.4275,0.3381,-1.6657,128,
2026-05-30 21:22:09,74004.35,0.8106,0.699,0.6663,8.6953,205,
2026-05-30 21:22:19,74024.95,0.845,0.7386,0.6553,0.7582,76,
2026-05-30 21:22:29,74025.35,0.8393,0.6821,0.6927,0.5505,29,
2026-05-30 21:22:39,74005.75,0.1742,0.2184,0.4382,-1.0659,132,
2026-05-30 21:22:49,73998.45,0.2417,0.3036,0.3946,-0.2631,42,
2026-05-30 21:22:59,73998.45,0.0877,0.1434,0.2853,0.0001,2,
2026-05-30 21:23:09,73991.65,0.0633,0.1862,0.341,-0.5798,72,
2026-05-30 21:23:19,73986.05,0.5039,0.5758,0.639,-0.2508,31,
2026-05-30 21:23:29,73986.05,0.7076,0.7178,0.703,0.0676,5,
2026-05-30 21:23:39,73988.35,0.8453,0.769,0.7133,0.4274,33,
2026-05-30 21:23:49,73988.35,0.6811,0.6713,0.6872,0.0035,7,
2026-05-30 21:23:59,73988.35,0.565,0.5398,0.6572,-0.0027,5,
2026-05-30 21:24:09,73988.35,0.5589,0.5457,0.647,0.0226,8,
2026-05-30 21:24:19,73988.35,0.6541,0.653,0.5951,-0.0027,4,
2026-05-30 21:24:29,73986.15,0.7619,0.6744,0.5878,-0.5455,156,
2026-05-30 21:24:39,73988.75,0.6022,0.5112,0.3703,0.2762,32,
2026-05-30 21:24:49,73999.95,0.3937,0.4067,0.5436,0.6743,68,
2026-05-30 21:24:59,74004.75,0.257,0.313,0.394,3.0458,40,
2026-05-30 21:25:09,73996.75,0.2276,0.2649,0.3014,-0.863,80,
