timestamp,price,imbalance_20,label_next_price
2026-05-29 18:16:45,73012.65,0.7801,
2026-05-29 18:16:55,73002.45,0.4398,
2026-05-29 18:17:05,72936.45,0.4084,
2026-05-29 18:17:15,72938.05,0.4988,
2026-05-29 18:17:25,72981.65,0.3137,
2026-05-29 18:17:35,72960.25,0.5328,
2026-05-29 18:17:45,72913.65,0.3671,
2026-05-29 18:17:55,72924.95,0.7207,
2026-05-29 18:18:05,72902.35,0.541,
2026-05-29 18:18:15,72870.65,0.5573,
2026-05-29 18:18:25,72906.45,0.5048,
2026-05-29 18:18:35,72897.15,0.6378,
2026-05-29 18:18:45,72890.85,0.6007,
2026-05-29 18:18:55,72873.75,0.8433,
2026-05-29 18:19:05,72842.15,0.0459,
2026-05-29 18:19:15,72774.05,0.258,
2026-05-29 18:19:25,72766.05,0.3405,
2026-05-29 18:19:35,72770.75,0.726,
2026-05-29 18:19:45,72798.85,0.5938,
2026-05-29 18:19:55,72817.15,0.2271,
2026-05-29 18:20:05,72810.95,0.1823,
2026-05-29 18:20:15,72808.15,0.3309,
2026-05-29 18:20:25,72832.25,0.7428,
2026-05-29 18:20:35,72856.85,0.4275,
2026-05-29 18:20:45,72856.95,0.5336,
2026-05-29 18:20:55,72811.35,0.4544,
2026-05-29 18:21:05,72795.75,0.1573,
2026-05-29 18:21:15,72849.05,0.4973,
2026-05-29 18:21:25,72816.05,0.1647,
2026-05-29 18:21:36,72814.75,0.4935,
2026-05-29 18:21:46,72839.95,0.2565,
2026-05-29 18:21:56,72817.15,0.6765,
2026-05-29 18:22:06,72806.25,0.3752,
2026-05-29 18:22:16,72830.45,0.6834,
2026-05-29 18:22:26,72799.25,0.2204,
2026-05-29 18:22:36,72796.45,0.7094,
2026-05-29 18:22:46,72787.15,0.6547,
2026-05-29 18:22:56,72790.15,0.3622,
2026-05-29 18:23:06,72778.95,0.5832,
2026-05-29 18:23:16,72791.95,0.6479,
2026-05-29 18:23:26,72792.65,0.3767,
2026-05-29 18:23:36,72777.35,0.2325,
2026-05-29 18:23:46,72743.45,0.1958,
2026-05-29 18:23:56,72753.15,0.6862,
2026-05-29 18:24:06,72723.15,0.4532,
2026-05-29 18:24:16,72722.15,0.789,
2026-05-29 18:24:26,72747.75,0.6844,
2026-05-29 18:24:36,72728.15,0.2592,
2026-05-29 18:24:46,72716.75,0.4625,
2026-05-29 18:24:56,72714.75,0.128,
2026-05-29 18:25:06,72689.45,0.1091,
2026-05-29 18:25:16,72675.75,0.0602,
2026-05-29 18:25:26,72661.25,0.6826,
2026-05-29 18:25:36,72649.85,0.8131,
2026-05-29 18:25:46,72668.25,0.7216,
2026-05-29 18:25:56,72694.15,0.1952,
2026-05-29 18:26:06,72638.75,0.429,
2026-05-29 18:26:16,72565.85,0.4518,
2026-05-29 18:26:26,72541.25,0.6432,
2026-05-29 18:26:36,72591.85,0.4308,
2026-05-29 18:26:46,72575.95,0.3389,
2026-05-29 18:26:56,72553.35,0.5455,
2026-05-29 18:27:06,72538.65,0.6954,
2026-05-29 18:27:16,72530.25,0.4274,
2026-05-29 18:27:26,72594.95,0.5323,
2026-05-29 18:27:36,72593.15,0.4506,
2026-05-29 18:27:46,72621.55,0.3081,
2026-05-29 18:27:56,72611.85,0.3067,
2026-05-29 18:28:06,72644.45,0.6826,
2026-05-29 18:28:16,72657.55,0.2094,
2026-05-29 18:28:26,72675.75,0.44,
2026-05-29 18:28:36,72697.45,0.6358,
2026-05-29 18:28:46,72697.95,0.6828,
2026-05-29 18:28:56,72703.65,0.4715,
2026-05-29 18:29:06,72705.35,0.4289,
2026-05-29 18:29:17,72709.45,0.6896,
2026-05-29 18:29:27,72716.35,0.4955,
2026-05-29 18:29:37,72758.75,0.5826,
2026-05-29 18:29:47,72730.75,0.4487,
2026-05-29 18:29:57,72726.85,0.6469,
2026-05-29 18:30:07,72758.85,0.7172,
2026-05-29 18:30:17,72730.85,0.4719,
