timestamp,price,imbalance_20,label_next_price
2026-05-29 18:16:45,73012.65,0.7801,0
2026-05-29 18:16:55,73002.45,0.4398,0
2026-05-29 18:17:05,72936.45,0.4084,0
2026-05-29 18:17:15,72938.05,0.4988,0
2026-05-29 18:17:25,72981.65,0.3137,0
2026-05-29 18:17:35,72960.25,0.5328,0
2026-05-29 18:17:45,72913.65,0.3671,0
2026-05-29 18:17:55,72924.95,0.7207,0
2026-05-29 18:18:05,72902.35,0.541,0
2026-05-29 18:18:15,72870.65,0.5573,0
2026-05-29 18:18:25,72906.45,0.5048,0
2026-05-29 18:18:35,72897.15,0.6378,0
2026-05-29 18:18:45,72890.85,0.6007,0
2026-05-29 18:18:55,72873.75,0.8433,0
2026-05-29 18:19:05,72842.15,0.0459,0
2026-05-29 18:19:15,72774.05,0.258,1
2026-05-29 18:19:25,72766.05,0.3405,1
2026-05-29 18:19:35,72770.75,0.726,1
2026-05-29 18:19:45,72798.85,0.5938,1
2026-05-29 18:19:55,72817.15,0.2271,0
2026-05-29 18:20:05,72810.95,0.1823,0
2026-05-29 18:20:15,72808.15,0.3309,1
2026-05-29 18:20:25,72832.25,0.7428,0
2026-05-29 18:20:35,72856.85,0.4275,0
2026-05-29 18:20:45,72856.95,0.5336,0
2026-05-29 18:20:55,72811.35,0.4544,1
2026-05-29 18:21:05,72795.75,0.1573,1
2026-05-29 18:21:15,72849.05,0.4973,0
2026-05-29 18:21:25,72816.05,0.1647,0
2026-05-29 18:21:36,72814.75,0.4935,0
2026-05-29 18:21:46,72839.95,0.2565,0
2026-05-29 18:21:56,72817.15,0.6765,0
2026-05-29 18:22:06,72806.25,0.3752,0
2026-05-29 18:22:16,72830.45,0.6834,0
2026-05-29 18:22:26,72799.25,0.2204,0
2026-05-29 18:22:36,72796.45,0.7094,0
2026-05-29 18:22:46,72787.15,0.6547,0
2026-05-29 18:22:56,72790.15,0.3622,0
2026-05-29 18:23:06,72778.95,0.5832,0
2026-05-29 18:23:16,72791.95,0.6479,0
2026-05-29 18:23:26,72792.65,0.3767,0
2026-05-29 18:23:36,72777.35,0.2325,0
2026-05-29 18:23:46,72743.45,0.1958,0
2026-05-29 18:23:56,72753.15,0.6862,0
2026-05-29 18:24:06,72723.15,0.4532,0
2026-05-29 18:24:16,72722.15,0.789,0
2026-05-29 18:24:26,72747.75,0.6844,0
2026-05-29 18:24:36,72728.15,0.2592,0
2026-05-29 18:24:46,72716.75,0.4625,0
2026-05-29 18:24:56,72714.75,0.128,0
